page_date,category,title,readings_text,body,prayer,image_path,reading_links_json
2026-01-11,连结社群,1月11日：根深则人强,创世记20-21章、马太福音10:1-23、箴言3:1-10,"当耶稣差遣门徒出去时，祂告诉他们将会面对拒绝、逼迫和艰难。同样的，当我们被差遣出去时，这也不会是轻松的。在基督里深深扎根，能帮助我们抵挡人生的风暴。

根深则人强。正如树通过根吸收水分，我们从祂圣灵的活水中汲取养分。我们的忍耐、勇气和果效都源于住在基督里。我们越深居于祂的真理中，就越能在世人面前站立得稳。

所以，当压力来临时，不要灰心。让它驱使你的根扎得更深。你或许会弯曲，但不会折断。神会赐你超自然的力量去度过所有境况！",天父，感谢祢呼召并差遣我进入世界作祢的门徒。我知道这条路并非总是易行，但我选择在祢里面坚定站立。帮助我不要惧怕风暴，而是在风暴中成长，为祢的荣耀结出果子。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 20章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/20.htm""}, {""text"": ""创世记 21章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/21.htm""}, {""text"": ""马太福音 10:1-23"", ""url"": ""https://www.wordproject.org/bibles/gb/40/10.htm""}, {""text"": ""箴言 3:1-10"", ""url"": ""https://www.wordproject.org/bibles/gb/20/3.htm""}]"
2026-01-12,连结社群,1月12日：与耶稣同工,创世记22-23章、马太福音10:24-42、诗篇6,"正如耶稣如何差遣那十二个门徒，今天祂也向我们发出同样的指示，要我们在祂国度的工作中与祂同工。与耶稣同工，意味着既行在祂的大能中，也行在祂的谦卑里。

我们要以祂的心服事他人，并将结果交托给祂；知道无论我们去到哪里，祂都与我们同行。然而，耶稣警告说，这种伙伴关系需要付上代价。不是每个人都会欢迎我们。

真正与耶稣同工，意味着与祂一同分享喜乐与苦难，经历拒绝，也一同领受奖赏你如何在日常生活中，在家里、工作或事奉中与耶稣同工？",主耶稣，感谢祢邀请我参与祢的使命，并将祢的心意带到世界。教导我行在祢的大能和谦卑中，以爱服事，并将一切结果交托给祢。提醒我，无论我往哪里去，祢都与我同在。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 22章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/22.htm""}, {""text"": ""创世记 23章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/23.htm""}, {""text"": ""马太福音 10:24-42"", ""url"": ""https://www.wordproject.org/bibles/gb/40/10.htm""}, {""text"": ""诗篇 6"", ""url"": ""https://www.wordproject.org/bibles/gb/19/6.htm""}]"
2026-01-13,连结社群,1月13日：活出黄金法则,创世记24章、马太福音11章、诗篇7,"黄金法则对我们的人际关系具有深远的力量。它呼召我们设身处地，以我们渴望被对待的尊重和恩典来对待他人。它不仅仅是一个需要遵循的道德原则。

它反映了我们是什么样的人。我们都渴望被尊重、耐心对待和善意相待。没有人愿意被欺骗、被诽谤或被排斥。我们都感激在需要时得帮助。活出黄金法则不是单靠意志力能维持的。这是圣灵在我们心里动工的结果，使我们能够像耶稣一样去爱他人。

求圣灵帮助你用神的眼光去看待每一个人。",主耶稣，求祢改变我的心，使我每天能活出祢的爱。帮助我用祢的眼光看待他人，并出于爱而非责任活出黄金法则。愿我的生命彰显我从祢那里领受的恩典。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 24章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/24.htm""}, {""text"": ""马太福音 11章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/11.htm""}, {""text"": ""诗篇 7"", ""url"": ""https://www.wordproject.org/bibles/gb/19/7.htm""}]"
2026-01-14,连结社群,1月14日：在合一中生活,创世记25-26章、马太福音12:1-21、诗篇8,"合一不是没有差异。而是在我们的差异中有恩典存在。雅各和以扫的冲突显示了兄弟间的竞争和嫉妒如何能撕裂家庭。另一方面，以撒在面对冲突时选择了和平而非竞争。

他信靠神会为他开路。活在合一中是反映耶稣的心意。合一不是单靠协议建立的，而是通过用神的眼光看待彼此。信徒不必须完全相同或在每个微小细节上意见一致。但我们必须作为一个身体共同运作，尽管有个体差异，仍要以爱心行事。

基督徒彼此同心合一的生活方式，成为向世人见证福音真理和基督之爱的有力见证。",天父，使我成为祢合一的器皿。当冲突发生时，教导我选择和平并伸出怜悯。帮助我行在和平中，说话带着恩典，并用祢的眼光看待他人。阿们。,/static/images/picture2.jpg,"[{""text"": ""创世记 25章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/25.htm""}, {""text"": ""创世记 26章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/26.htm""}, {""text"": ""马太福音 12:1-21"", ""url"": ""https://www.wordproject.org/bibles/gb/40/12.htm""}, {""text"": ""诗篇 8"", ""url"": ""https://www.wordproject.org/bibles/gb/19/8.htm""}]"
2026-01-15,进入命定,1月15日：尊荣神的时间,创世记27章、马太福音12:22-50、诗篇9,"在雅各和以扫出生之前，神就已经宣告祝福将属于他。雅各早已被拣选。但雅各没有等待神来成就，反而试图通过欺骗来夺取。虽然雅各最终得到了祝福，却带来了心碎、分离和多年的挣扎。

他的急躁和操纵造成了不必要的痛苦。当我们不信靠神的时间，擅自掌控事情时，我们就使神原本要祝福的事情变得复杂。以人的方式行神的旨意，会导致冲突和延误。雅各最重要的转折点发生在多年后他与神摔跤的时候。这一次，他没有为争取祝福而欺骗，而是完全倚靠神。

当你停止挣扎，开始信靠时，你的命定就展开了。",主耶稣，当我试图靠自己的力量急于求成时，求祢赦免我。教导我信靠祢的时间，并凭正直行事。在祢为我预备应许之时，塑造我的品格。愿我在祢的时间和方式里领受祢的祝福。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 27章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/27.htm""}, {""text"": ""马太福音 12:22-50"", ""url"": ""https://www.wordproject.org/bibles/gb/40/12.htm""}, {""text"": ""诗篇 9"", ""url"": ""https://www.wordproject.org/bibles/gb/19/9.htm""}]"
2026-01-16,进入命定,1月16日：神救赎被拒者,创世记28-29章、马太福音13:1-29、诗篇10,"拒绝是人生最深的伤口之一。当别人根据我们的过去、错误或所缺乏的来给我们贴标签时，我们感到被拒绝。当雅各欺骗父亲并逃离时，所有人都看见一个骗子和逃犯。但神并没有透过拒绝的镜头看他。

人可能根据我们的过去来评判我们，但神看见我们所能成为的样子。神对你生命的呼召不会因人的拒绝而被取消。对那被遗弃的、不被爱的、受压迫的、被忽视的，以及那些有着羞耻或罪恶过去的人—耶稣看见你，祂听见你，祂要救赎你。

恩典要重写你的故事。你过去的失败不会限制你的未来。你不必靠自己修复一切。神在你的破碎之中与你相遇。愿你的过去成为祂恩典的有力见证。",天父，感谢祢，我的过去不定义我的未来。求祢呼召我进入祢旨意的丰盛中。帮助我全心跟随基督。我信靠祢将一步步展开我的未来。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 28章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/28.htm""}, {""text"": ""创世记 29章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/29.htm""}, {""text"": ""马太福音 13:1-29"", ""url"": ""https://www.wordproject.org/bibles/gb/40/13.htm""}, {""text"": ""诗篇 10"", ""url"": ""https://www.wordproject.org/bibles/gb/19/10.htm""}]"
2026-01-17,进入命定,1月17日：国度影响者,创世记30章、马太福音13:30-58、诗篇11-12,"我们都能在日常环境中，通过应用国度的原则和价值观来影响世界。耶稣的比喻揭示了神的国如何改变世界。它可能开始时像一粒芥菜种；虽然微小且隐藏，却注定要成长。

它像面酵在面团里一样运作，静悄悄地由内工作，直到一切都被转变。国度影响力并不总是通过宏大的舞台或响亮的声音而来。那持续小小顺服的行动，可以带来丰盛的祝福。每一次低声的祷告，每一个善意的举动，每一句真理的话语，都是神能将它长成超过你所能想象的果实。

今天，你要如何成为耶稣的影响者？",主耶稣，感谢祢将祢国度的工作托付给我。教导我珍惜微小的开端，即使无人注意也忠心地服事。求祢使用我这微小的种子，为祢的荣耀效力。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 30章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/30.htm""}, {""text"": ""马太福音 13:30-58"", ""url"": ""https://www.wordproject.org/bibles/gb/40/13.htm""}, {""text"": ""诗篇 11-12"", ""url"": ""https://www.wordproject.org/bibles/gb/19/11.htm""}]"
2026-01-18,进入命定,1月18日：行走水面的勇气,创世记31章、马太福音14章、诗篇13,"当风暴肆虐，狂风呼啸时，耶稣出现，行走在水面上。当耶稣吩咐彼得到祂那里去时，彼得没有分析波浪，也没有等待风暴平息。他听见救主的声音就踏了出去。

那就是顺服的勇气。信靠救主的声音，即使前路充满不确定，也要迈出一步。但当彼得将焦点从耶稣转移到风暴上时，恐惧占据了他，他开始下沉。顺服的勇气在于专注，而非毫无恐惧。信心定睛于基督，而非风暴。

你是否曾有过某个时刻，感觉到耶稣邀请你在一个崭新或不确定的生活领域信靠祂？",天父，当人生的风暴环绕我时，帮助我在嘈杂中听见祢的声音。赐我勇气，让我在信心中踏出脚步，相信祢的呼召胜过我的恐惧。当我开始下沉时，求祢用手拉起我，再次坚固我的心。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 31章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/31.htm""}, {""text"": ""马太福音 14章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/14.htm""}, {""text"": ""诗篇 13"", ""url"": ""https://www.wordproject.org/bibles/gb/19/13.htm""}]"
2026-01-19,进入命定,1月19日：每日向祂的呼召降服,创世记32-33章、马太福音15章、箴言3:11-20,"你是否正在某个特定问题上与神角力？也许这是一个你难以放手的领域。抵挡仇敌攻击的方法就是完全向主降服。受伤后的雅各，被改名为""以色列""，他发现命定不是靠操纵实现的，而是靠降服。

当我们放下自己的掌控时，神就赐下祂的计划。当我们放下自己的骄傲时，神就赐下祂的身份。当我们放下自己的时间表，神就赐下祂的丰盛。在神的国里，降服不是软弱，它是通往命定的途径。每日降服不是放弃，而是将自己的意志交托给主。

当我们停止挣扎时，神的能力就接管一切。",主耶稣，我将所面对的挣扎和难以放手的事情带到祢面前。教导我释放我的恐惧、骄傲和掌控欲。像雅各一样，改变我的心，在祢里面赐给我一个新的身份。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 32章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/32.htm""}, {""text"": ""创世记 33章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/33.htm""}, {""text"": ""马太福音 15章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/15.htm""}, {""text"": ""箴言 3:11-20"", ""url"": ""https://www.wordproject.org/bibles/gb/20/3.htm""}]"
2026-01-20,进入命定,1月20日：超越痛苦,创世记34-35章、马太福音16章、箴言3:21-35,"人生总有痛苦。有时，感觉试炼正使我们偏离了呼召和目的。请放心，神从不浪费任何弯路。在神的故事里，痛苦从来不是终点，它可以成为你生命的转折点。神的声音常常在挣扎中出现。苦难成为雅各重新听见神呼召的契机。

在我们最低谷、心最柔软的时候，神的低语最终能被听见。超越痛苦不是逃避它。而是允许神借此转化你。每一个交托的痛苦都是发现命定的开始。每一滴眼泪都成为见证。每一次破碎都成为与神更深的同行。若不经过神借着痛苦的医治、洁净和炼净，我们无法完全活出神的呼召。

苦难或许不可避免，但若我们将它交在神手中，它就无法夺走我们的呼召。",天父，感谢祢，我的痛苦在祢手中不会被浪费。求祢将我的苦难转化为赞美，我的眼泪化为见证。我将我的伤痛全然交托给祢，求祢将它们转化为对祢的敬拜。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 34章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/34.htm""}, {""text"": ""创世记 35章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/35.htm""}, {""text"": ""马太福音 16章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/16.htm""}, {""text"": ""箴言 3:21-35"", ""url"": ""https://www.wordproject.org/bibles/gb/20/3.htm""}]"
2026-01-21,进入命定,1月21日：不惜代价得智慧,创世记36章、马太福音17章、箴言4:1-9,"箴言4:1-9美妙地捕捉了一位父亲对儿女发自内心的恳求，要他们追求智慧过于一切。他在说智慧必须在我们所追求的事物中占据首位。人们追逐许多东西—成功、权力、认可、影响力、安全感、舒适等等。

但所罗门教导说，没有智慧，这些东西可能成为陷阱而非祝福。这种神赐的智慧有别于世俗的智慧。它不仅仅是一套道德指导。属神的智慧是一个指南针，帮助我们领悟神的旨意，提供属灵的理解，并引导我们做出明智的选择。

智慧帮助我们以分辨力来管理我们所拥有的。从神而来的智慧比黄金更宝贵。这对世界来说可能听起来愚拙，但持久的平安与喜乐之路只能在基督里找到。",天父，求祢教导我看重智慧过于一切。引导我走在明辨的道路上。愿祢的智慧塑造我的选择，守护我的脚步，并引导我走在祢为我预备的道路上。阿们。,/static/images/picture3.jpg,"[{""text"": ""创世记 36章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/36.htm""}, {""text"": ""马太福音 17章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/17.htm""}, {""text"": ""箴言 4:1-9"", ""url"": ""https://www.wordproject.org/bibles/gb/20/4.htm""}]"
2026-01-22,成为祝福,1月22日：来自天上的梦,创世记37-38章、马太福音18章、箴言4:10-19,"你是否曾经从神那里领受过一个梦？对约瑟而言，他领受的梦是为了预备他未来的角色，拯救他家族的生命并成就神盟约的应许。同样地，神放在我们心中的梦也显明了祂对我们的心意。那么，你如何回应这些从神而来的梦的梦呢？

首先，要知道神渴望在你与祂同行的旅程中塑造你的品格。正如约瑟必须一路忍受许多挑战，你也要准备好面对前方路上一切的障碍。每一次的失望都是在基督里成长的机会。每一次的分心都是对你信心的考验。

每一次的绕道都是学习谦卑和耐心的时刻。最终，神放在你里面的梦，将借着信心成就。今天，就在梦想旅程中迈出下一步吧！",主耶稣，感谢祢，当我行在祢里面时，我生命中的一切都不会荒废。求祢像为约瑟所做的那样救赎我的试炼，并帮助我信靠祢胜过一切困难。愿祢赐给我的梦想在我生命中成就。阿们。,/static/images/picture4.jpg,"[{""text"": ""创世记 37章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/37.htm""}, {""text"": ""创世记 38章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/38.htm""}, {""text"": ""马太福音 18章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/18.htm""}, {""text"": ""箴言 4:10-19"", ""url"": ""https://www.wordproject.org/bibles/gb/20/4.htm""}]"
2026-01-23,成为祝福,1月23日：从忠心到丰盛,创世记39-40章、马太福音19章、箴言4:20-27,"约瑟就像撒种比喻中落在好土里的“种子”。他选择在每一个季节都成为祝福，无论是在尊荣的地位上还是在艰难的环境中。他忠心地使用神赐的恩赐服事他人，即使当他被诬告时也是如此。

当你忠心地行在主的呼召中，最终你必看见生命中的丰盛。这果实随后成为给你和周围人的祝福之源！在学业、工作或事奉的劳苦中，你要有耐心。你也许会面对困难，但神与你同在，祂必带你度过一切。

在适当的时候，你将获得神祝福的奖赏！",主耶稣，感谢祢呼召我成为祝福的管道。教导我像约瑟一样坚定不移，使用祢所赐的恩赐去服事他人。帮助我信靠祢，相信在适当的季节，祢必使我结出果实。愿我的生命在任何景况中都荣耀祢。阿们。,/static/images/picture4.jpg,"[{""text"": ""创世记 39章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/39.htm""}, {""text"": ""创世记 40章"", ""url"": ""https://www.wordproject.org/bibles/gb/01/40.htm""}, {""text"": ""马太福音 19章"", ""url"": ""https://www.wordproject.org/bibles/gb/40/19.htm""}, {""text"": ""箴言 4:20-27"", ""url"": ""https://www.wordproject.org/bibles/gb/20/4.htm""}]"
